year,name,price,mileage,location,link
2015,Honda civic,$1200,70000,"Irving, TX",https://www.facebook.com/marketplace/item/808750463605935/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2015,Honda civic,$1500,85000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/590678989650585/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2015,Honda civic,$2000,70000,"Irving, TX",https://www.facebook.com/marketplace/item/1949632185386101/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2015,Honda civic,$1300,80000,"Dallas, TX",https://www.facebook.com/marketplace/item/1365749977300930/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2015,Honda civic,$1399,100000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/122544117418818/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2016,Honda civic LX Sedan 4D,$3500,98000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/2492482800904570/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2016,Honda accord,$5800,99000,"Irving, TX",https://www.facebook.com/marketplace/item/3257180051195279/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2016,Honda civic =F0=9F=92=AF,$1200,92000,"Dallas, TX",https://www.facebook.com/marketplace/item/862458731581208/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2016,Honda civic,$995,65000,"Dallas, TX",https://www.facebook.com/marketplace/item/535809995019294/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2017,Honda civic EX Sedan 4D,$12000,71000,"Irving, TX",https://www.facebook.com/marketplace/item/1352987775493876/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2017,Honda civic EX Sedan 4D,$3500,129000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/750075746493801/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2017,Honda civic,$2500,60000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/765451834843962/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$2200,50000,"Carrollton, TX",https://www.facebook.com/marketplace/item/1722001034861119/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$2300,46000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/190834257000095/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$1599,46000,"Dallas, TX",https://www.facebook.com/marketplace/item/879314276701159/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$2300,46000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/1193687244682654/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$10900,69000,"Dallas, TX",https://www.facebook.com/marketplace/item/5693574994085562/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda civic,$1999,67000,"Garland, TX",https://www.facebook.com/marketplace/item/8905364929504786/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2018,Honda honda+civic,$2499,48000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/187230294059515/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic,$12950,32000,"Arlington, TX",https://www.facebook.com/marketplace/item/574935301231675/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic type r touring 2.0l,$4500,N/A,"Arlington, TX",https://www.facebook.com/marketplace/item/1394100081341305/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic,$1500,56000,"Grand Prairie, TX",https://www.facebook.com/marketplace/item/594601882261138/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic Sport Hatchback 4D,$17500,27000,"Arlington, TX",https://www.facebook.com/marketplace/item/3034518720189454/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic Touring Hatchback Sedan 4D,$3000,60000,"Carrollton, TX",https://www.facebook.com/marketplace/item/1363783607689705/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic,$1900,51000,"Garland, TX",https://www.facebook.com/marketplace/item/532377899016599/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic,$1499,N/A,"Dallas, TX",https://www.facebook.com/marketplace/item/1559086261285459/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2019,Honda civic,$2000,58000,"Garland, TX",https://www.facebook.com/marketplace/item/910149806801682/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2022,Honda civic,$1499,46000,"Dallas, TX",https://www.facebook.com/marketplace/item/229407079494298/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2022,Honda civic,$1499,46000,"Dallas, TX",https://www.facebook.com/marketplace/item/235855695474656/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
